,attA,attB,defA,defB,midA,midB,ratA,ratB,tierA,tierB,winA
0,82.33,84.0,74.17,78.83,83.0,82.5,79.0,81.55,2.0,2.0,-1.0
1,82.33,84.5,74.17,79.0,83.0,85.33,79.0,82.82,2.0,2.0,1.0
2,82.33,87.25,74.17,81.17,83.0,84.0,79.0,84.18,2.0,1.0,1.0
3,82.33,78.0,74.17,72.33,83.0,76.0,79.0,74.45,2.0,3.0,-1.0
4,82.33,77.33,74.17,77.5,83.0,78.5,79.0,77.82,2.0,2.0,0.0
5,82.33,79.75,74.17,71.67,83.0,79.0,79.0,76.55,2.0,3.0,1.0
6,82.33,80.5,74.17,77.67,83.0,81.0,79.0,79.55,2.0,2.0,0.0
7,82.33,82.0,74.17,78.83,83.0,79.0,79.0,80.36,2.0,2.0,-1.0
8,82.33,79.33,74.17,76.5,83.0,77.0,79.0,77.45,2.0,2.0,-1.0
9,82.33,90.33,74.17,86.33,83.0,91.0,79.0,88.64,2.0,1.0,1.0
10,82.33,86.0,74.17,83.0,83.0,87.5,79.0,85.55,2.0,1.0,-1.0
11,82.33,85.5,74.17,81.67,83.0,87.67,79.0,84.55,2.0,1.0,-1.0
12,82.33,90.0,74.17,85.5,83.0,89.0,79.0,87.64,2.0,1.0,-1.0
13,82.33,92.33,74.17,89.0,83.0,91.5,79.0,90.73,2.0,1.0,-1.0
14,82.33,88.0,74.17,88.5,83.0,89.67,79.0,88.82,2.0,1.0,-1.0
15,82.33,75.5,74.17,74.67,83.0,77.67,79.0,75.82,2.0,3.0,1.0
16,82.33,88.5,74.17,81.67,83.0,85.0,79.0,84.64,2.0,1.0,-1.0
17,82.33,90.0,74.17,85.33,83.0,89.5,79.0,87.73,2.0,1.0,-1.0
18,82.33,82.0,74.17,80.5,83.0,83.33,79.0,81.82,2.0,2.0,0.0
19,82.33,85.5,74.17,82.0,83.0,84.0,79.0,83.45,2.0,2.0,0.0
20,82.33,90.5,74.17,88.5,83.0,90.0,79.0,89.45,2.0,1.0,-1.0
21,82.33,84.0,74.17,80.83,83.0,85.0,79.0,82.64,2.0,2.0,0.0
22,82.33,85.67,74.17,83.33,83.0,85.5,79.0,84.45,2.0,1.0,-1.0
23,82.33,80.0,74.17,75.17,83.0,75.75,79.0,75.91,2.0,3.0,1.0
24,82.33,85.0,74.17,80.33,83.0,83.75,79.0,82.45,2.0,2.0,-1.0
25,82.33,72.0,74.17,68.17,83.0,71.67,79.0,70.91,2.0,3.0,1.0
26,82.33,91.25,74.17,85.67,83.0,90.0,79.0,89.0,2.0,1.0,-1.0
27,82.33,91.67,74.17,87.5,83.0,88.5,79.0,89.09,2.0,1.0,-1.0
28,82.33,83.5,74.17,82.67,83.0,89.0,79.0,83.64,2.0,2.0,0.0
29,82.33,77.5,74.17,74.83,83.0,78.33,79.0,76.91,2.0,3.0,1.0
30,82.33,89.5,74.17,84.5,83.0,84.33,79.0,85.45,2.0,1.0,-1.0
31,84.0,82.33,78.83,74.17,82.5,83.0,81.55,79.0,2.0,2.0,1.0
32,84.0,84.5,78.83,79.0,82.5,85.33,81.55,82.82,2.0,2.0,0.0
33,84.0,87.25,78.83,81.17,82.5,84.0,81.55,84.18,2.0,1.0,1.0
34,84.0,78.0,78.83,72.33,82.5,76.0,81.55,74.45,2.0,3.0,1.0
35,84.0,77.33,78.83,77.5,82.5,78.5,81.55,77.82,2.0,2.0,0.0
36,84.0,79.75,78.83,71.67,82.5,79.0,81.55,76.55,2.0,3.0,1.0
37,84.0,80.5,78.83,77.67,82.5,81.0,81.55,79.55,2.0,2.0,0.0
38,84.0,82.0,78.83,78.83,82.5,79.0,81.55,80.36,2.0,2.0,1.0
39,84.0,79.33,78.83,76.5,82.5,77.0,81.55,77.45,2.0,2.0,0.0
40,84.0,90.33,78.83,86.33,82.5,91.0,81.55,88.64,2.0,1.0,-1.0
41,84.0,86.0,78.83,83.0,82.5,87.5,81.55,85.55,2.0,1.0,-1.0
42,84.0,85.5,78.83,81.67,82.5,87.67,81.55,84.55,2.0,1.0,-1.0
43,84.0,90.0,78.83,85.5,82.5,89.0,81.55,87.64,2.0,1.0,-1.0
44,84.0,92.33,78.83,89.0,82.5,91.5,81.55,90.73,2.0,1.0,-1.0
45,84.0,88.0,78.83,88.5,82.5,89.67,81.55,88.82,2.0,1.0,-1.0
46,84.0,75.5,78.83,74.67,82.5,77.67,81.55,75.82,2.0,3.0,1.0
47,84.0,88.5,78.83,81.67,82.5,85.0,81.55,84.64,2.0,1.0,-1.0
48,84.0,90.0,78.83,85.33,82.5,89.5,81.55,87.73,2.0,1.0,-1.0
49,84.0,82.0,78.83,80.5,82.5,83.33,81.55,81.82,2.0,2.0,0.0
50,84.0,85.5,78.83,82.0,82.5,84.0,81.55,83.45,2.0,2.0,0.0
51,84.0,90.5,78.83,88.5,82.5,90.0,81.55,89.45,2.0,1.0,-1.0
52,84.0,84.0,78.83,80.83,82.5,85.0,81.55,82.64,2.0,2.0,0.0
53,84.0,85.67,78.83,83.33,82.5,85.5,81.55,84.45,2.0,1.0,-1.0
54,84.0,80.0,78.83,75.17,82.5,75.75,81.55,75.91,2.0,3.0,1.0
55,84.0,85.0,78.83,80.33,82.5,83.75,81.55,82.45,2.0,2.0,0.0
56,84.0,72.0,78.83,68.17,82.5,71.67,81.55,70.91,2.0,3.0,1.0
57,84.0,91.25,78.83,85.67,82.5,90.0,81.55,89.0,2.0,1.0,-1.0
58,84.0,91.67,78.83,87.5,82.5,88.5,81.55,89.09,2.0,1.0,-1.0
