Squad,Formation,Tier,Rating,Attack,Midfield,Defence
Egypt,"[u'A. El-Shenawy' u'A. Hegazy' u'K. Hafez' u'O. Gaber' u'M. Salah'
 u'R. Sobhi' u'Kahraba' u'M. Elneny' u'A. Hassan' u'Trezeguet' u'M. Fathi']",3-5-2,2,79.0,82.33,83.0,74.17
Morocco,"[u'Y. Bounou' u'M. Benatia' u'A. Hakimi' u'Z. Feddal' u'H. Ziyech'
 u'S. Boufal' u'S. Amrabat' u'A. Harit' u'Y. Ait Bennasser' u'Y. Belhanda'
 u'Y. Ayoub']",3-5-2,2,81.55,84.0,82.5,78.83
Nigeria,"[u'V. Enyeama' u'C. Awaziem' u'K. Omeruo' u'U. Agbo' u'O. Ndidi'
 u'K. Iheanacho' u'H. Onyekuru' u'A. Iwobi' u'I. Success' u'O. Orji'
 u'V. Osimhen']",3-5-2,2,82.82,84.5,85.33,79.0
Senegal,"[u'A. Gomis' u'K. Koulibaly' u'K. Mbodj' u'K. Mbodj' u'K. Bald\xe9 Diao'
 u'S. Man\xe9' u'A. Ndiaye Diedhiou' u'I. Sarr' u'I. Gueye' u'M. Coulibaly'
 u'I. Niane']",3-5-2,1,84.18,87.25,84.0,81.17
Tunisia,"[u'F. Ben Mustapha' u'A. Abdennour' u'Y. Benalouane' u'S. Ben Youssef'
 u'B. Srarfi' u'E. Skhiri' u'N. Sliti' u'I. Jebali' u'L. Azouni'
 u'K. Laribi' u'H. Harbaoui']",3-5-2,3,74.45,78.0,76.0,72.33
Australia,"[u'M. Ryan' u'A. Gersbach' u'T. Sainsbury' u'B. Wright' u""A. O'Neill""
 u'A. Mooy' u'T. Rogi\u0107' u'J. Maclaren' u'M. Degenek' u'D. De Silva'
 u'R. McGree']",3-5-2,2,77.82,77.33,78.5,77.5
Iran,"[u'A. Haghighi' u'M. Mohammadi' u'K. Ansarifard' u'K. Rezaei' u'S. Azmoun'
 u'A. Jahanbakhsh' u'S. Ezatolahi' u'R. Shekari' u'S. Ghoddos'
 u'A. Samizadeh' u'R. Ghoochannejhad']",3-5-2,3,76.55,79.75,79.0,71.67
Japan,"[u'K. Nakamura' u'G. Shoji' u'N. Ueda' u'M. Hasebe' u'Y. Mut\u014d'
 u'G. Shibasaki' u'H. Abe' u'Y. Kubo' u'D. Kamada' u'Y. Ideguchi'
 u'R. Doan']",3-5-2,2,79.55,80.5,81.0,77.67
Korea Republic,"[u'Yoon Bo Sang' u'Kim Min Jae' u'An Hyeon Beom' u'Kim Jin Su' u'H. Son'
 u'Han Chan Hee' u'You Ju An' u'Lee Jae Sung' u'Kim Seung Joon'
 u'Lee Chang Min' u'Lee Sang Heon']",3-5-2,2,80.36,82.0,79.0,78.83
Saudi Arabia,"[u'M. Al Owais' u'M. Hawsawi' u'O. Hawsawi' u'Y. Al Shahrani' u'M. Jahfali'
 u'F. Al Muwallad' u'A. Aseri' u'A. Ateef' u'M. Kanno' u'N. Al Abed'
 u'S. Al Najai']",4-4-2,2,77.45,79.33,77.0,76.5
Belgium,"[u'T. Courtois' u'T. Alderweireld' u'L. Dendoncker' u'J. Vertonghen'
 u'K. De Bruyne' u'E. Hazard' u'R. Lukaku' u'Y. Carrasco' u'Y. Tielemans'
 u'R. Nainggolan' u'D. Mertens']",3-5-2,1,88.64,90.33,91.0,86.33
